"","nmajor","major1","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_internships","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","double_major"
"250",1,"Finance",0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",2021,"Cum Laude","Chesterfield","Reinsurance Group of America",NA,NA,NA,"2","1","accepted fulltime job","Yes","Yes",NA,"No Double Major"
"251",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","2.50 - 2.99",2020,"0","Chicago","Naked Lime",NA,NA,NA,"3",NA,"accepted fulltime job",NA,NA,NA,"No Double Major"
"252",1,"Marketing",0,1,0,1,0,0,0,0,0,0,0,"Information Systems","Information Systems","White","Female","3.00 - 3.49",2020,"0",NA,NA,NA,NA,NA,"3","0","seeking employment",NA,NA,NA,"No Double Major"
"253",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.00 - 3.49",2019,"0",NA,NA,NA,NA,NA,"1","2","seeking employment",NA,NA,NA,"No Double Major"
"254",1,"Marketing",0,1,0,1,0,0,0,0,0,0,0,"Humanities","Humanities","White","Female","3.00 - 3.49",2021,"0","Columbus","Lower",NA,NA,NA,"1","1","accepted fulltime job","No","Yes",40000,"No Double Major"
"255",1,"Finance",0,1,0,1,0,0,0,0,0,0,0,"No Minor","No Minor","White","Male","3.50 - 4.00",2021,"Magna Cum Laude","Chicago","Fifth Third Bank",NA,NA,NA,"4","3","accepted fulltime job",NA,NA,63000,"No Double Major"
"256",1,"Accountancy",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","White","Female","3.50 - 4.00",2021,"Cum Laude","Detroit","EY","Accounting",NA,NA,"1","1","accepted fulltime job","Yes","Yes",58000,"No Double Major"
"257",1,"Supply Chain & Operations Mgmt",0,1,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Hispanic/Latino","Male","3.00 - 3.49",2019,"0","Cincinnati","Fifth Third Bank","Operations / Procurement",NA,NA,"2","2","accepted fulltime job","Yes","Yes",NA,"No Double Major"
"258",1,"Marketing",0,1,0,0,0,0,0,0,0,0,0,"Supply Chain Management","Supply Chain Management","Hispanic/Latino","Female","3.50 - 4.00",2021,"Cum Laude","Chicago","PepsiCo",NA,NA,NA,"1","0","accepted fulltime job","No","Yes",65000,"No Double Major"
"259",1,"Finance",0,1,0,0,0,0,0,0,0,0,0,"Economics","Humanities","White","Male","2.50 - 2.99",2021,"0",NA,NA,NA,NA,NA,"1","3","seeking employment",NA,NA,NA,"No Double Major"
